name,vote_pct,address,gauge,token0,token1,emissions_token,emissions_decimals,token0_decimals,token1_decimals,token0_fees_raw,token1_fees_raw,token0_fees,token1_fees,fees_raw,emissions_raw,votes_raw,votes,ratio,tfv,tbv,tvv,votes_per_tvv,rewards_epoch_ts
vAMM-tBTC/USDbC,0.002359183489952439,0x723AEf6543aecE026a15662Be4D3fb3424D502A9,0x50f0249B824033Cf0AF0C8b9fe1c67c2842A34d5,0x236aa50979D5f3De3Bd1Eeb40E81137F22ab794b,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,6,0,0,0.0,0.0,0,146818448479053,21560287346673756194022,21560.287346673755,1.3954031375555267e-21,30.08529261014728,0,30.08529261014728,716.6387784907839,1764806400
vAMM-tBTC/WETH,0.0026356879543214503,0x2722C8f9B5E2aC72D1f225f8e8c990E449ba0078,0xfaE8C18D83655Fbf31af10d2e9A1Ad5bA77D0377,0x236aa50979D5f3De3Bd1Eeb40E81137F22ab794b,0x4200000000000000000000000000000000000006,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,18,0,0,0.0,0.0,0,164026078419278,24087227590967423195004,24087.22759096742,1.5932686267885395e-21,38.377424027003684,0,38.377424027003684,627.6405517477883,1764806400
vAMM-T/WETH,4.339075981012211e-07,0xAf58FDeE432a104a932a899968d60F92838886cd,0xaD3d4aFd779e4A57734557CcE25F87032614fE47,0x26f3901aC8a79c50fb0d8289C74f0d09AdC42E29,0x4200000000000000000000000000000000000006,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,18,3755229386703092976311,3784768268724841,3755.229386703093,0.003784768268724841,3755233171471361701152,0,3965428096970939228,3.9654280969709395,0.0,0,0,0,nan,0
vAMM-EXTRA/USDbC,3.428489396071844e-05,0x2B7704f1cb9324cD8586B33C6c540CbD64E58237,0xf05a3De3dD6910042f506c6105bC14920C4289B6,0x2dAD3a13ef0C6366220f989157009e501e7938F8,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,6,1604939277020598229937,29629032,1604.9392770205982,29.629032,1604939277020627858969,0,313325423220146093721,313.3254232201461,0.0,0,0,0,nan,0
sAMM-DOLA/USDbC,0.0003467434823516605,0x0B25c51637c43decd6CC1C1e3da4518D54ddb528,0xeAE066C25106006fB386A3a8b1698A0cB6931c1a,0x4621b7A9c75199271F773Ebd9A499dbd165c3191,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,6,0,0,0.0,0.0,0,21578796357260,3168845978673246350681,3168.8459786732465,5.44256811927122e-25,0.0017246660098407818,0,0.0017246660098407818,1837367.9081005307,1764806400
vAMM-WETH/UNIDX,1.3931868154582853e-05,0xA819Af1CC8AbE618eA8abaDeb464960F7451CEAB,0x98F44CE76BDCaD37f00a98B275631B1D796862fa,0x4200000000000000000000000000000000000006,0x6B4712AE9797C199edd44F897cA09BC57628a1CF,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,18,66823770323037905,226291957939932705676,0.0668237703230379,226.2919579399327,226358781710255743581,0,127321627151110355016,127.32162715111036,0.0,0,0,0,nan,0
vAMM-ERN/stERN,4.75793816216292e-05,0x218F511431194B2C756D67a137DE536beA74E498,0x109Cc0f2640457b2A483C2eef189827750A676bB,0xa334884bF6b0A066d553D19e507315E839409e62,0xf7A0dd3317535eC4f4d29ADF9d620B3d8D5D5069,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,18,184593981967829432,89795951736903492,0.18459398196782945,0.0897959517369035,274389933704732924,0,434822108542330684198,434.8221085423307,0.0,0,0,0,nan,0
sAMM-MAI/USDbC,3.051174252298186e-05,0xf6Aec4F97623E691a9426a69BaF5501509fCa05D,0xC01E2ff20501839db7B28F5Cb3eD2876fEa3d6b1,0xbf1aeA8670D2528E08334083616dD9C5F3B087aE,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,6,29619647855594459326,7645268,29.619647855594458,7.645268,29619647855602104594,0,278843056949536182548,278.8430569495362,0.0,0,0,0,nan,0
sAMM-DOLA/MAI,7.218112513087636e-05,0x8b432C54d6e8E1B8D1802753514AB53044Af1861,0xDe23611176b16720346f4Df071D1aA01752c68C1,0x4621b7A9c75199271F773Ebd9A499dbd165c3191,0xbf1aeA8670D2528E08334083616dD9C5F3B087aE,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,18,8675309183294479722,10319200273697689795,8.67530918329448,10.31920027369769,18994509456992169517,0,659654412408287255581,659.6544124082873,0.0,0,0,0,nan,0
vAMM-USDbC/STG,6.626009712360824e-08,0xb680190fB16f417647e69D6A84719aE9c7E5E20a,0x9a8D9F5C698C1F2B0d48a955BC531F2c7D67Af84,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0xE3B53AF74a4BF62Ae5511055290838050bf764Df,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,6,18,56131996,309916750288003708730,56.131996,309.9167502880037,309916750288059840726,0,605542866711187967,0.605542866711188,0.0,0,0,0,nan,0
vAMM-WETH/TAROT,0.0492497009185714,0x2d25E0514f23c6367687dE89Bd5167dc754D4934,0xa81dac2e9caa218Fcd039D7CEdEB7847cf362213,0x4200000000000000000000000000000000000006,0xF544251D25f3d243A36B07e7E7962a678f952691,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,18,18288708595229,44557652320555717230,1.8288708595229e-05,44.55765232055572,44557670609264312459,3065462830052041,450086950872798980585842,450086.950872799,1.556536152990791e-22,70.05766110229017,0,70.05766110229017,6424.52151258138,1764806400
sAMM-MIM/USDbC,6.626009712360824e-08,0x982A169edFC1cf8Fd38dBeE76735547b23875BD1,0xBb0b5819Fa91076a1D6aaFa0D018E27a416DE029,0x4A3A6Dd60A34bB2Aba60D73B4C88315E9CeB6A3D,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,6,2393930585318759840,2451355,2.39393058531876,2.451355,2393930585321211195,0,605542866711187967,0.605542866711188,0.0,0,0,0,nan,0
vAMM-WETH/HOP,0.007949278143029708,0x75D18ee68bB93BE5cB2dcCFa0d8151E25CBC8Eb8,0xb42A9e58773993ed15A5eED65633e85870185e13,0x4200000000000000000000000000000000000006,0xc5102fE9359FD9a28f877a67E36B0F050d81a3CC,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,18,0,0,0.0,0.0,0,494710253637226,72647473879112681193110,72647.47387911267,3.2997272043601116e-23,2.397168458869487,0,2.397168458869487,30305.53552059227,1764806400
sAMM-DAI+/USD+,0.0001270929904015631,0x1b05e4e814b3431a48b8164c41eaC834d9cE2Da6,0x87803Cb321624921cedaAD4555F07Daa0D1Ed325,0x65a2508C429a6078a7BC2f7dF81aB575BD9D9275,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,6,4138072946586982605,6943816,4.138072946586982,6.943816,4138072946593926421,0,1161487185916595141654,1161.487185916595,0.0,0,0,0,nan,0
sAMM-USD+/USDbC,8.634339243682431e-05,0x4a3636608d7Bc5776CB19Eb72cAa36EbB9Ea683B,0xa5972f0C07a2D1cc5A8457c28d88ec4f3C009864,0xB79DD08EA68A908A97220C76d19A6aA9cBDE4376,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,6,6,31818111,12708857,31.818111,12.708857,44526968,0,789081629026693188654,789.0816290266931,0.0,0,0,0,nan,0
vAMM-WETH/DEUS,0.11381511019646215,0x9e4CB8b916289864321661CE02cf66aa5BA63C94,0x7eC1926A50D2D253011cC9891935eBc476713bb1,0x4200000000000000000000000000000000000006,0xDE5ed76E7c05eC5e4572CfC88d1ACEA165109E44,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,18,1965330903398,468180014955961979,1.965330903398e-06,0.46818001495596195,468181980286865377,7083096228355263,1040142274087604959479695,1040142.274087605,2.130367272211666e-23,22.1588505916005,0,22.1588505916005,46940.26297924855,1764806400
sAMM-DAI/USDbC,8.63566596596323e-07,0x6EAB8c1B93f5799daDf2C687a30230a540DbD636,0xCF1D5Aa63083fda05c7f8871a9fDbfed7bA49060,0x50c5725949A6F0c72E6C4a641F24049A917DB0Cb,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,6,34767717280218821812,33871218,34.767717280218825,33.871218,34767717280252693030,0,7892028765418826011,7.892028765418826,0.0,0,0,0,nan,0
vAMM-AERO/USDbC,0.05156239245026822,0x2223F9FE624F69Da4D8256A7bCc9104FBA7F8f75,0x9a202c932453fB3d04003979B121E80e5A14eE7b,0x940181a94A35A4569E4529A3CDfB74e38FD98631,0xd9aAEc86B65D86f6A7B5B1b0c42FFA531710b6CA,0x940181a94A35A4569E4529A3CDfB74e38FD98631,18,18,6,845935178463165692,17791543,0.8459351784631657,17.791543,845935178480957235,3208900706233480,471222353939140266710691,471222.3539391403,1.3801703830245114e-21,650.3671367258951,0,650.3671367258951,724.5482241175149,1764806400
